,country,date,confirmed,death,recovered,last_confirmed,last_death,last_recovered
2759,China,1/29/20,152,0,2,106,0,0
2760,China,1/30/20,200,0,2,152,0,2
2761,China,1/31/20,237,0,3,200,0,2
2762,China,2/1/20,297,0,5,237,0,3
2763,China,2/2/20,340,0,7,297,0,5
2764,China,2/3/20,408,0,14,340,0,7
2765,China,2/4/20,480,0,20,408,0,14
2766,China,2/5/20,530,0,23,480,0,20
2767,China,2/6/20,591,0,34,530,0,23
2768,China,2/7/20,665,0,47,591,0,34
2769,China,2/8/20,733,0,59,665,0,47
2770,China,2/9/20,779,1,72,733,0,59
2771,China,2/10/20,830,3,88,779,1,72
2772,China,2/11/20,860,4,105,830,3,88
2773,China,2/12/20,889,4,127,860,4,105
2774,China,2/13/20,910,5,157,889,4,127
2775,China,2/14/20,934,6,193,910,5,157
2776,China,2/15/20,950,6,221,934,6,193
2777,China,2/16/20,962,6,255,950,6,221
2778,China,2/17/20,973,6,280,962,6,255
2779,China,2/18/20,982,6,361,973,6,280
2780,China,2/19/20,986,6,413,982,6,361
2781,China,2/20/20,987,6,474,986,6,413
2782,China,2/21/20,988,6,539,987,6,474
2783,China,2/22/20,989,6,597,988,6,539
2784,China,2/23/20,989,6,637,989,6,597
2785,China,2/24/20,989,6,663,989,6,637
2786,China,2/25/20,989,6,712,989,6,663
2787,China,2/26/20,989,6,744,989,6,712
2788,China,2/27/20,989,6,792,989,6,744
2789,China,2/28/20,990,6,821,989,6,792
2790,China,2/29/20,990,6,868,990,6,821
2791,China,3/1/20,990,6,873,990,6,868
2792,China,3/2/20,990,6,917,990,6,873
2793,China,3/3/20,990,6,936,990,6,917
2794,China,3/4/20,990,6,956,990,6,936
2795,China,3/5/20,990,6,970,990,6,956
2796,China,3/6/20,990,6,979,990,6,970
2797,China,3/7/20,990,6,979,990,6,979
2798,China,3/8/20,990,6,984,990,6,979
2799,China,3/9/20,990,6,984,990,6,984
2800,China,3/10/20,990,6,984,990,6,984
2801,China,3/11/20,990,6,984,990,6,984
2802,China,3/12/20,990,6,984,990,6,984
2803,China,3/13/20,990,6,984,990,6,984
2804,China,3/14/20,990,6,984,990,6,984
2805,China,3/15/20,990,6,984,990,6,984
2806,China,3/16/20,990,6,984,990,6,984
2807,China,3/17/20,990,6,984,990,6,984
2808,China,3/18/20,990,6,984,990,6,984
2809,China,3/19/20,990,6,984,990,6,984
2810,China,3/20/20,990,6,984,990,6,984
2811,China,3/21/20,990,6,984,990,6,984
2812,China,3/22/20,990,6,984,990,6,984
2813,China,3/23/20,990,6,984,990,6,984
2814,China,3/24/20,990,6,984,990,6,984
2815,China,3/25/20,990,6,984,990,6,984
2816,China,3/26/20,990,6,984,990,6,984
2817,China,3/27/20,990,6,984,990,6,984
2818,China,3/28/20,990,6,984,990,6,984
2819,China,3/29/20,990,6,984,990,6,984
2820,China,3/30/20,990,6,984,990,6,984
2821,China,3/31/20,990,6,984,990,6,984
